證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,收盤價,日期
2330,台積電          ,"20,792,329","11,526,676","9,265,653",0,0,0,"144,000","70,249","73,751","162,094","164,000","98,200","65,800","263,821","167,527","96,294","9,501,498",990,20250325
2330,台積電          ,"24,932,813","33,130,585","-8,197,772",0,0,0,"457,000","172,000","285,000","-222,809","7,000","189,000","-182,000","89,735","130,544","-40,809","-8,135,581",1005,20250307
